"","ligand","receptor","pair","ligand_gene_id","receptor_gene_id"
"1726","Slit2","Robo1","SLIT2_ROBO1","ENSMUSG00000031558","ENSMUSG00000022883"
"1727","Slit2","Robo2","SLIT2_ROBO2","ENSMUSG00000031558","ENSMUSG00000052516"
"1728","Slit2","Robo4","SLIT2_ROBO4","ENSMUSG00000031558","ENSMUSG00000032125"
"1729","Slit2","Sdc1","SLIT2_SDC1","ENSMUSG00000031558","ENSMUSG00000020592"
"1730","Slit3","Robo2","SLIT3_ROBO2","ENSMUSG00000056427","ENSMUSG00000052516"
"1731","Slpi","Cd4","SLPI_CD4","ENSMUSG00000017002","ENSMUSG00000023274"
"1732","Sorbs1","Insr","SORBS1_INSR","ENSMUSG00000025006","ENSMUSG00000005534"
"1733","Sorbs1","Itga1","SORBS1_ITGA1","ENSMUSG00000025006","ENSMUSG00000042284"
"1734","Sorbs1","Itgb5","SORBS1_ITGB5","ENSMUSG00000025006","ENSMUSG00000022817"
"1735","Sost","Lrp5","SOST_LRP5","ENSMUSG00000001494","ENSMUSG00000024913"
"1736","Sost","Lrp6","SOST_LRP6","ENSMUSG00000001494","ENSMUSG00000030201"
"1737","Spink1","Egfr","SPINK1_EGFR","ENSMUSG00000024503","ENSMUSG00000020122"
"1738","Spink1","Nrsn1","SPINK1_NRSN1","ENSMUSG00000024503","ENSMUSG00000048978"
"1739","Spint1","St14","SPINT1_ST14","ENSMUSG00000027315","ENSMUSG00000031995"
"1740","Spon2","Itgam","SPON2_ITGAM","ENSMUSG00000037379","ENSMUSG00000030786"
"1741","Spon2","Itgb2","SPON2_ITGB2","ENSMUSG00000037379","ENSMUSG00000000290"
"1742","Spp1","Cd44","SPP1_CD44","ENSMUSG00000029304","ENSMUSG00000005087"
"1743","Spp1","Itga4","SPP1_ITGA4","ENSMUSG00000029304","ENSMUSG00000027009"
"1744","Spp1","Itga5","SPP1_ITGA5","ENSMUSG00000029304","ENSMUSG00000000555"
"1745","Spp1","Itga9","SPP1_ITGA9","ENSMUSG00000029304","ENSMUSG00000039115"
"1746","Spp1","Itgav","SPP1_ITGAV","ENSMUSG00000029304","ENSMUSG00000027087"
"1747","Spp1","Itgb1","SPP1_ITGB1","ENSMUSG00000029304","ENSMUSG00000025809"
"1748","Spp1","S1pr1","SPP1_S1PR1","ENSMUSG00000029304","ENSMUSG00000045092"
"1749","Sst","Sstr1","SST_SSTR1","ENSMUSG00000004366","ENSMUSG00000035431"
"1750","Sst","Sstr2","SST_SSTR2","ENSMUSG00000004366","ENSMUSG00000047904"
"1751","Sst","Sstr3","SST_SSTR3","ENSMUSG00000004366","ENSMUSG00000044933"
"1752","Sst","Sstr4","SST_SSTR4","ENSMUSG00000004366","ENSMUSG00000037014"
"1753","Sst","Sstr5","SST_SSTR5","ENSMUSG00000004366","ENSMUSG00000050824"
"1754","Sytl3","Nrxn1","SYTL3_NRXN1","ENSMUSG00000041831","ENSMUSG00000024109"
"1755","Tac1","Tacr1","TAC1_TACR1","ENSMUSG00000061762","ENSMUSG00000030043"
"1756","Tac1","Tacr2","TAC1_TACR2","ENSMUSG00000061762","ENSMUSG00000020081"
"1757","Tac1","Tacr3","TAC1_TACR3","ENSMUSG00000061762","ENSMUSG00000028172"
"1758","Tac2","Tacr1","TAC3_TACR1","ENSMUSG00000025400","ENSMUSG00000030043"
"1759","Tac2","Tacr2","TAC3_TACR2","ENSMUSG00000025400","ENSMUSG00000020081"
"1760","Tac2","Tacr3","TAC3_TACR3","ENSMUSG00000025400","ENSMUSG00000028172"
"1761","Tac4","Tacr1","TAC4_TACR1","ENSMUSG00000020872","ENSMUSG00000030043"
"1762","Tac4","Tacr2","TAC4_TACR2","ENSMUSG00000020872","ENSMUSG00000020081"
"1763","Tac4","Tacr3","TAC4_TACR3","ENSMUSG00000020872","ENSMUSG00000028172"
"1764","Tcn2","Cnr1","TCN2_CNR1","ENSMUSG00000020432","ENSMUSG00000044288"
"1765","Tcn2","Lrp2","TCN2_LRP2","ENSMUSG00000020432","ENSMUSG00000027070"
"1766","Tctn1","Tmem67","TCTN1_TMEM67","ENSMUSG00000038593","ENSMUSG00000049488"
