"","ligand","receptor","Ligand.receptor.pair","Source","PMID.support","Ligand.HGNC.ID","Ligand.location","Receptor.HGNC.ID","HGNC.L.R","secondary.source."
"1238","IGFL2","IGFLR1","IGFL2 IGFLR1","Ramilowski_2015_Literature_supported","21454693,","HGNC:32929","secreted","HGNC:23620","HGNC:32929 HGNC:23620","CellphoneDB"
"1239","IGFL3","IGFLR1","IGFL3 IGFLR1","Ramilowski_2015_Literature_supported","21454693,","HGNC:32930","secreted","HGNC:23620","HGNC:32930 HGNC:23620","CellphoneDB"
"1240","IGSF11","VSIR","IGSF11 VSIR","Hou et al. 2020 (this publication)","30220083,","HGNC:16669","plasma membrane","HGNC:30085","HGNC:16669 HGNC:30085",""
"1241","IHH","BOC","IHH BOC","Ramilowski_2015_Literature_supported","20519495,","HGNC:5956","secreted","HGNC:17173","HGNC:5956 HGNC:17173",""
"1242","IHH","CDON","IHH CDON","Ramilowski_2015_Literature_supported","20519495,","HGNC:5956","secreted","HGNC:17104","HGNC:5956 HGNC:17104",""
"1243","IHH","HHIP","IHH HHIP","Ramilowski_2015_Literature_supported","10050855,10050855, 11435703,","HGNC:5956","secreted","HGNC:14866","HGNC:5956 HGNC:14866",""
"1244","IHH","PTCH1","IHH PTCH1","Ramilowski_2015_Literature_supported","11562786,9811851,","HGNC:5956","secreted","HGNC:9585","HGNC:5956 HGNC:9585",""
"1245","IHH","PTCH2","IHH PTCH2","Ramilowski_2015_Literature_supported","9811851,","HGNC:5956","secreted","HGNC:9586","HGNC:5956 HGNC:9586",""
"1246","IL10","IL10RA","IL10 IL10RA","Ramilowski_2015_Literature_supported","12974481,11485736, 8248239, 8897595, 11717514, 10231374, 7759550,","HGNC:5962","secreted","HGNC:5964","HGNC:5962 HGNC:5964",""
"1247","IL10","IL10RB","IL10 IL10RB","Ramilowski_2015_Literature_supported","12974481,11485736, 9312047,","HGNC:5962","secreted","HGNC:5965","HGNC:5962 HGNC:5965",""
"1248","IL11","IL11RA","IL11 IL11RA","Ramilowski_2015_Literature_supported","10948192,7670098, 10504396,","HGNC:5966","secreted","HGNC:5967","HGNC:5966 HGNC:5967",""
"1249","IL11","IL6ST","IL11 IL6ST","Ramilowski_2015_Literature_supported","10948192,","HGNC:5966","secreted","HGNC:6021","HGNC:5966 HGNC:6021",""
"1250","IL12A","IL12RB1","IL12A IL12RB1","Ramilowski_2015_Literature_supported","11086056,","HGNC:5969","secreted","HGNC:5971","HGNC:5969 HGNC:5971",""
"1251","IL12A","IL12RB2","IL12A IL12RB2","Ramilowski_2015_Literature_supported","943050,","HGNC:5969","secreted","HGNC:5972","HGNC:5969 HGNC:5972",""
"1252","IL12B","IL12RB1","IL12B IL12RB1","Ramilowski_2015_Literature_supported","7843232, 7527811,","HGNC:5970","secreted","HGNC:5971","HGNC:5970 HGNC:5971",""
"1253","IL12B","IL12RB2","IL12B IL12RB2","Ramilowski_2015_Literature_supported","11086056,11940489,","HGNC:5970","secreted","HGNC:5972","HGNC:5970 HGNC:5972",""
"1254","IL12B","IL23R","IL12B IL23R","Ramilowski_2015_Literature_supported","17587057,","HGNC:5970","secreted","HGNC:19100","HGNC:5970 HGNC:19100",""
"1255","IL13","IL13RA1","IL13 IL13RA1","Ramilowski_2015_Literature_supported","12704343,11278629,","HGNC:5973","secreted","HGNC:5974","HGNC:5973 HGNC:5974",""
"1256","IL13","IL13RA2","IL13 IL13RA2","Ramilowski_2015_Literature_supported","12704343,11003391,","HGNC:5973","secreted","HGNC:5975","HGNC:5973 HGNC:5975","CellphoneDB"
"1257","IL13","IL2RG","IL13 IL2RG","Ramilowski_2015_Literature_supported","8920992,","HGNC:5973","secreted","HGNC:6010","HGNC:5973 HGNC:6010",""
"1258","IL13","IL4R","IL13 IL4R","Ramilowski_2015_Literature_supported","12704343,11709756,","HGNC:5973","secreted","HGNC:6015","HGNC:5973 HGNC:6015",""
"1259","IL15","IL15RA","IL15 IL15RA","Ramilowski_2015_Literature_supported","15265897,7641685, 16284400,","HGNC:5977","secreted","HGNC:5978","HGNC:5977 HGNC:5978","CellphoneDB"
"1260","IL15","IL2RA","IL15 IL2RA","Ramilowski_2015_Literature_supported","8734356,","HGNC:5977","secreted","HGNC:6008","HGNC:5977 HGNC:6008",""
"1261","IL15","IL2RB","IL15 IL2RB","Ramilowski_2015_Literature_supported","15265897,8026467, 9176231,","HGNC:5977","secreted","HGNC:6009","HGNC:5977 HGNC:6009",""
"1262","IL15","IL2RG","IL15 IL2RG","Ramilowski_2015_Literature_supported","15265897,8568232,","HGNC:5977","secreted","HGNC:6010","HGNC:5977 HGNC:6010",""
"1263","IL16","CD4","IL16 CD4","Ramilowski_2015_Literature_supported","1851800, 7910967,","HGNC:5980","secreted","HGNC:1678","HGNC:5980 HGNC:1678",""
"1264","IL16","GRIN2D","IL16 GRIN2D","Ramilowski_2015_Literature_supported","10479680,","HGNC:5980","secreted","HGNC:4588","HGNC:5980 HGNC:4588",""
"1265","IL16","KCNJ10","IL16 KCNJ10","Ramilowski_2015_Literature_supported","10479680,","HGNC:5980","secreted","HGNC:6256","HGNC:5980 HGNC:6256",""
"1266","IL16","KCNJ15","IL16 KCNJ15","Ramilowski_2015_Literature_supported","10479680,","HGNC:5980","secreted","HGNC:6261","HGNC:5980 HGNC:6261",""
"1267","IL17A","IL17RA","IL17A IL17RA","Ramilowski_2015_Literature_supported","9367539,9367539,","HGNC:5981","secreted","HGNC:5985","HGNC:5981 HGNC:5985",""
"1268","IL17A","IL17RC","IL17A IL17RC","Ramilowski_2015_Literature_supported","18684971,","HGNC:5981","secreted","HGNC:18358","HGNC:5981 HGNC:18358",""
"1269","IL17B","IL17RB","IL17B IL17RB","Ramilowski_2015_Literature_supported","10749887,10749887,","HGNC:5982","secreted","HGNC:18015","HGNC:5982 HGNC:18015",""
"1270","IL17C","IL17RA","IL17C IL17RA","Hou et al. 2020 (this publication)","21993848,","HGNC:5983","secreted","HGNC:5985","HGNC:5983 HGNC:5985",""
"1271","IL17C","IL17RE","IL17C IL17RE","Hou et al. 2020 (this publication)","21993848,","HGNC:5983","secreted","HGNC:18439","HGNC:5983 HGNC:18439",""
"1272","IL17F","IL17RA","IL17F IL17RA","Ramilowski_2015_Literature_supported","18684971,","HGNC:16404","secreted","HGNC:5985","HGNC:16404 HGNC:5985",""
