"","ligand","receptor"
"428","Ppbp","Adra2a"
"429","Pyy","Adra2a"
"430","Rln3","Adra2a"
"431","Sst","Adra2a"
"432","Apob","Adrb2"
"433","Avp","Adrb2"
"434","Calca","Adrb2"
"435","Calcb","Adrb2"
"436","Cga","Adrb2"
"437","Crh","Adrb2"
"438","Egf","Adrb2"
"439","Fshb","Adrb2"
"440","Gcg","Adrb2"
"441","Ghrh","Adrb2"
"442","Gip","Adrb2"
"443","Iapp","Adrb2"
"444","Il1b","Adrb2"
"445","Nps","Adrb2"
"446","Pomc","Adrb2"
"447","Pth","Adrb2"
"448","Pth2","Adrb2"
"449","Pthlh","Adrb2"
"450","Rln1","Adrb2"
"451","Rln3","Adrb2"
"452","Rps27a","Adrb2"
"453","Sct","Adrb2"
"454","Trf","Adrb2"
"455","Tshb","Adrb2"
"456","Vegfb","Adrb2"
"457","Vip","Adrb2"
"458","Wnt5a","Adrb2"
"459","Avp","Adrb3"
"460","Calca","Adrb3"
"461","Calcb","Adrb3"
"462","Cga","Adrb3"
"463","Crh","Adrb3"
"464","Fshb","Adrb3"
"465","Gcg","Adrb3"
"466","Ghrh","Adrb3"
"467","Gip","Adrb3"
"468","Iapp","Adrb3"
"469","Nps","Adrb3"
"470","Pomc","Adrb3"
"471","Pth","Adrb3"
"472","Pth2","Adrb3"
"473","Pthlh","Adrb3"
"474","Rln1","Adrb3"
"475","Rln3","Adrb3"
"476","Sct","Adrb3"
"477","Tshb","Adrb3"
"478","Vip","Adrb3"
"479","Afdn","Epha7"
"480","Afdn","Ephb2"
"481","Afdn","Ephb3"
"482","Afdn","Ephb6"
"483","Afdn","F11r"
"484","Afdn","Nectin1"
"485","Afdn","Nectin2"
"486","Afdn","Nectin3"
"487","Afdn","Nectin4"
"488","Afdn","Nrxn2"
"489","Afdn","Nrxn3"
"490","Hmgb1","Ager"
"491","S100a9","Ager"
"492","Ttr","Ager"
"493","Agrn","Atp1a3"
"494","Agrn","Dag1"
"495","Agrn","Itgb1"
"496","Agrn","Lrp1"
"497","Agrn","Lrp2"
"498","Agrn","Lrp4"
"499","Agrn","Musk"
"500","Agrp","Mc3r"
"501","Agrp","Mc4r"
"502","Agrp","Mc5r"
"503","Agrp","Sdc3"
"504","Agt","Agtr1a"
"505","Agt","Agtr1b"
"506","Agt","Agtr2"
"507","Agt","Enpep"
"508","Agt","Grm7"
"509","Agt","Lrp2"
"510","Agt","Mas1"
"511","Agt","Mtnr1a"
"512","Cxcl12","Agtr1a"
"513","Hras","Agtr1b"
"514","Timp3","Agtr2"
"515","Agtrap","Rack1"
"516","Icam1","Ahr"
"517","Ahsg","Insr"
"518","Aimp1","Ntrk1"
"519","Alb","B2m,Fcgrt"
"520","Alb","Lrp2"
"521","Cd6","Alcam"
"522","Alcam","Chl1"
"523","Alcam","L1cam"
"524","Alcam","Nrp1"
"525","S100b","Alcam"
"526","Alkal1","Alk"
"527","Alkal2","Alk"
"528","Bmp10","Alk"
"529","Gdf2","Alk"
"530","Mdk","Alk"
"531","Ptn","Alk"
"532","Vcl","Alk"
"533","Alkal1","Ltk"
"534","Alkal2","Ltk"
"535","Ambn","Cd63"
"536","Amelx","Cd63"
"537","Amelx","Lamp1"
"538","Amelx","Lamp2"
"539","Gpi1","Amfr"
"540","Amh","Amhr2,Bmpr1a"
"541","Amh","Amhr2,Bmpr1b"
"542","Amh","Egfr"
"543","Ang","Egfr"
"544","Ang","Plxnb2"
"545","Angpt1","Itga5"
"546","Angpt1","Itgb1"
"547","Angpt1","Tek"
"548","Angpt1","Tie1"
"549","Angpt2","Itga5,Itgb1"
"550","Angpt2","Itgav"
"551","Angpt2","Itgb2"
"552","Angpt2","Tek"
"553","Angpt2","Tie1"
"554","Angpt4","Tek"
"555","Angpt4","Tie1"
"556","Angptl1","Itga1,Itgb1"
"557","Angptl1","Pirb"
"558","Angptl1","Tek"
"559","Angptl2","Itga5,Itgb1"
"560","Angptl2","Pirb"
"561","Angptl2","Tie1"
"562","Angptl2","Tlr4"
"563","Angptl3","Itga5"
"564","Angptl3","Itgav,Itgb3"
"565","Angptl4","Cdh11"
"566","Angptl4","Cdh5"
"567","Angptl4","Gpihbp1"
"568","Angptl4","Itga5,Itgb1"
"569","Angptl4","Itgav,Itgb3"
"570","Angptl4","Sdc1"
"571","Angptl4","Sdc2"
"572","Angptl4","Sdc3"
"573","Angptl4","Sdc4"
"574","Angptl4","Tie1"
"575","Angptl7","Pirb"
"576","Angptl8","Gpihbp1"
"577","Anpep","Sele"
"578","Gdf11","Antxr1"
"579","Wnt5a","Antxr1"
"580","Anxa1","Dysf"
"581","Anxa1","Egfr"
"582","Anxa1","Fpr1"
"583","Anxa1","Fpr2"
"584","Anxa1","Fpr2,Fpr3"
"585","Anxa1","Fpr3"
"586","Anxa1","Grm7"
"587","Anxa1","Mtnr1a"
"588","Anxa2","Cd44"
"589","Wnt3a","Apcdd1"
"590","Apela","Aplnr"
"591","Apln","Aplnr"
"592","Apln","Grm7"
"593","Apln","Mtnr1a"
"594","Pcsk9","Aplp2"
"595","Apoa1","Ldlr"
"596","Apoa1","Lrp1"
"597","Apoa1","Lrp2"
"598","Apoa4","Ldlr"
"599","Apoa4","Lrp1"
"600","Apoa4","Lrp2"
"601","Apob","Apobr"
"602","Apob","Calcr"
"603","Apob","Cd36"
"604","Apob","Eno1"
"605","Apob","Itgam"
"606","Apob","Itgb2"
"607","Apob","Ldlr"
"608","Apob","Lrp1"
"609","Apob","Lrp2"
"610","Apob","Lrp6"
"611","Apob","Lrp8"
"612","Apob","Lsr"
"613","Apob","Scarb1"
"614","Apob","Tlr4"
"615","Apob","Tlr6"
"616","Apob","Vldlr"
"617","Apoc2","Ldlr"
"618","Apoc2","Lrp1"
"619","Apoc2","Lrp2"
"620","Apoc3","Gpihbp1"
"621","Apoc3","Ldlr"
"622","Apoc3","Lrp1"
"623","Apoc3","Lrp2"
"624","Apoc3","Sdc2"
"625","Apoc3","Tlr2"
"626","Apoc4","Vldlr"
"627","Apod","Lepr"
"628","Apoe","Chrna4"
"629","Apoe","Ldlr"
"630","Apoe","Lrp1"
"631","Apoe","Lrp2"
"632","Apoe","Lrp5"
"633","Apoe","Lrp6"
"634","Apoe","Lrp8"
"635","Apoe","Scarb1"
"636","Apoe","Sdc1"
"637","Apoe","Sdc4"
"638","Apoe","Sorl1"
"639","Apoe","Trem2"
"640","Apoe","Vldlr"
"641","Apom","Lrp2"
"642","App","Casr"
"643","App","Cav1"
"644","App","Cd47"
"645","App","Cd74"
"646","App","Dcc"
"647","App","Drd3"
"648","App","Fpr2"
"649","App","Gpc1"
"650","App","Gpr3"
"651","App","Grm7"
"652","App","Lrp1"
"653","App","Lrp10"
"654","App","Lrp2"
"655","App","Lrp4"
"656","App","Lrp6"
"657","App","Lrp8"
"658","App","Mtnr1a"
"659","App","Ncstn"
"660","App","Ngfr"
"661","App","Notch1"
"662","App","Notch2"
"663","App","Slc45a3"
"664","Slit2","App"
