"","ligand","receptor"
"512","S100A1","AGER"
"513","S100A8","AGER"
"514","S100A9","AGER"
"515","S100B","AGER"
"516","TTR","AGER"
"517","AGRN","ATP1A3"
"518","AGRN","DAG1"
"519","AGRN","ITGB1"
"520","AGRN","LRP1"
"521","AGRN","LRP2"
"522","AGRN","LRP4"
"523","AGRN","MUSK"
"524","AGRP","MC3R"
"525","AGRP","MC4R"
"526","AGRP","MC5R"
"527","AGRP","SDC3"
"528","HRAS","AGTR1"
"529","TIMP3","AGTR2"
"530","AGTRAP","RACK1"
"531","AGT","AGTR1"
"532","AGT","AGTR2"
"533","AGT","ENPEP"
"534","AGT","GRM7"
"535","AGT","LRP2"
"536","AGT","MAS1"
"537","AGT","MTNR1A"
"538","AHSG","INSR"
"539","AIMP1","NTRK1"
"540","ALB","B2M,FCGRT"
"541","ALB","LRP2"
"542","CD6","ALCAM"
"543","ALCAM","CHL1"
"544","ALCAM","L1CAM"
"545","ALCAM","NRP1"
"546","S100A9","ALCAM"
"547","S100B","ALCAM"
"548","ALKAL1","LTK"
"549","ALKAL2","LTK"
"550","ALKAL1","ALK"
"551","ALKAL2","ALK"
"552","MDK","ALK"
"553","PTN","ALK"
"554","VCL","ALK"
"555","AMBN","CD63"
"556","AMELX","CD63"
"557","AMELX","LAMP1"
"558","AMELX","LAMP2"
"559","AMELY","CD63"
"560","AMELY","LAMP1"
"561","AMELY","LAMP2"
"562","GPI","AMFR"
"563","AMH","AMHR2,BMPR1A"
"564","AMH","AMHR2,BMPR1B"
"565","AMH","EGFR"
"566","ANGPT1","ITGA5"
"567","ANGPT1","ITGB1"
"568","ANGPT1","TEK"
"569","ANGPT1","TIE1"
"570","ANGPT2","ITGA5,ITGB1"
"571","ANGPT2","TEK"
"572","ANGPT2","TIE1"
"573","ANGPT4","TEK"
"574","ANGPT4","TIE1"
"575","ANGPTL1","ITGA1,ITGB1"
"576","ANGPTL1","LILRB1"
"577","ANGPTL1","TEK"
"578","ANGPTL2","ITGA5,ITGB1"
"579","ANGPTL2","LILRB1"
"580","ANGPTL2","LILRB2"
"581","ANGPTL2","TIE1"
"582","ANGPTL2","TLR4"
"583","ANGPTL3","ITGA5"
"584","ANGPTL3","ITGAV,ITGB3"
"585","ANGPTL4","CDH11"
"586","ANGPTL4","CDH5"
"587","ANGPTL4","GPIHBP1"
"588","ANGPTL4","ITGA5,ITGB1"
"589","ANGPTL4","ITGAV,ITGB3"
"590","ANGPTL4","SDC1"
"591","ANGPTL4","SDC2"
"592","ANGPTL4","SDC3"
"593","ANGPTL4","SDC4"
"594","ANGPTL4","TIE1"
"595","ANGPTL7","LILRB1"
"596","ANG","EGFR"
"597","ANG","PLXNB2"
"598","ANOS1","FGFR1"
"599","ANOS1","SDC2"
"600","ANPEP","SELE"
"601","GDF11","ANTXR1"
"602","WNT5A","ANTXR1"
"603","ANXA1","DYSF"
"604","ANXA1","EGFR"
"605","ANXA1","FPR1"
"606","ANXA1","FPR2"
"607","ANXA1","FPR2,FPR3"
"608","ANXA1","FPR3"
"609","ANXA1","GRM7"
"610","ANXA1","MTNR1A"
"611","ANXA2","ROBO4"
"612","ANXA2","TLR2"
"613","WNT3A","APCDD1"
"614","APELA","APLNR"
"615","APLN","APLNR"
"616","APLN","GRM7"
"617","APLN","MTNR1A"
"618","APP","APLP1"
"619","APP","APLP2"
"620","HLA-A","APLP2"
"621","PCSK9","APLP2"
"622","APOA1","LDLR"
"623","APOA1","LRP1"
"624","APOA1","LRP2"
"625","APOA2","LDLR"
"626","APOA2","LRP1"
"627","APOA2","LRP2"
"628","APOA4","LDLR"
"629","APOA4","LRP1"
"630","APOA4","LRP2"
"631","APOB","CALCR"
"632","APOB","ENO1"
"633","APOB","ITGAM"
"634","APOB","ITGB2"
"635","APOB","LDLR"
"636","APOB","LRP1"
"637","APOB","LRP2"
"638","APOB","LRP6"
"639","APOB","LRP8"
"640","APOB","LSR"
"641","APOB","OLR1"
"642","APOB","TLR4"
"643","APOB","TLR6"
"644","APOB","VLDLR"
"645","APOC1","VLDLR"
"646","APOC2","LDLR"
"647","APOC2","LRP1"
"648","APOC2","LRP2"
"649","APOC3","LDLR"
"650","APOC3","LRP1"
"651","APOC3","LRP2"
"652","APOC3","SDC2"
"653","APOC3","TLR2"
"654","APOC4","VLDLR"
"655","APOD","LEPR"
"656","APOE","CHRNA4"
"657","APOE","LDLR"
"658","APOE","LRP1"
"659","APOE","LRP2"
"660","APOE","LRP4"
"661","APOE","LRP5"
"662","APOE","LRP6"
"663","APOE","LRP8"
"664","APOE","LSR"
"665","APOE","SCARB1"
"666","APOE","SDC2"
"667","APOE","SORL1"
"668","APOE","TREM2"
"669","APOE","VLDLR"
"670","APP","CAV1"
"671","APP","CD74"
"672","APP","DCC"
"673","APP","FPR2"
"674","APP","GPC1"
"675","APP","GRM7"
"676","APP","LRP1"
"677","APP","LRP10"
"678","APP","LRP6"
"679","APP","MTNR1A"
"680","APP","NCSTN"
"681","APP","NGFR"
"682","APP","NOTCH2"
"683","APP","PLD1"
"684","APP","PTGER2"
"685","APP","RPSA"
"686","APP","SLC45A3"
"687","SLIT2","APP"
"688","APP","SORL1"
"689","SPON1","APP"
"690","APP","TNFRSF21"
"691","APP","TSPAN12"
"692","APP","TSPAN15"
"693","APP","VLDLR"
"694","EFEMP2","AQP1"
"695","KRTAP4-12","AQP1"
"696","PIP","AQP5"
"697","AREG","EGFR"
"698","AREG","EGFR,ERBB2"
"699","AREG","ERBB3"
"700","AREG","ICAM1"
"701","ARF1","CHRM3"
"702","ARF1","INSR"
"703","ARF4","EGFR"
"704","ARF6","PLD1"
"705","ARF6","SMAP1"
"706","ARTN","GFRA1"
"707","ARTN","RET,GFRA1"
"708","ARTN","GFRA2"
"709","ARTN","GFRA3"
"710","ARTN","RET,GFRA3"
"711","PSAP","AR"
"712","SERTAD1","AR"
"713","HP","ASGR1"
"714","TG","ASGR1"
"715","F8","ASGR2"
"716","HP","ASGR2"
"717","REN","ASIC3"
"718","ASIP","ATRN"
"719","ASIP","F11R"
"720","ASIP","MC1R"
"721","ASIP","MC2R"
"722","ASIP","MC3R"
"723","ASIP","MC4R"
"724","ASIP","MC5R"
"725","REN","ATP6AP2"
"726","WNT3A","ATP6AP2"
"727","CXCL12","AVPR1A"
"728","OXT","AVPR1A"
"729","VIP","AVPR1A"
"730","OXT","AVPR1B"
"731","C1QTNF1","AVPR2"
"732","OXT","AVPR2"
"733","AVP","AVPR1A"
"734","AVP","AVPR1B"
"735","AVP","AVPR2"
"736","AVP","GPR20"
"737","AVP","GPR84"
"738","AVP","LDLR"
"739","AVP","LRP2"
"740","AVP","OXTR"
"741","AVP","PTH1R"
"742","AVP","RAMP2"
"743","AVP","RAMP3"
"744","AVP","TSHR"
"745","AVP","VIPR1"
"746","EGF","AXL"
"747","GAS6","AXL"
"748","IL15RA","AXL"
"749","PROS1","AXL"
"750","AZGP1","ITGAV"
"751","B2M","CD1A"
"752","B2M","CD1B"
"753","B2M","CD247"
"754","B2M","CD3D"
"755","B2M","CD3G"
"756","B2M","HFE"
"757","B2M","HLA-F"
"758","B2M","KIR2DL1"
"759","B2M","KIR2DL3"
"760","B2M","KIR3DL1"
"761","B2M","KLRC1"
"762","B2M","KLRC2"
"763","B2M","KLRD1"
"764","B2M","LILRB1"
"765","B2M","LILRB2"
"766","B2M","TFRC"
"767","BAG6","NCR3"
"768","INHBA","BAMBI"
"769","LAMA5","BCAM"
